,tweet,dialect
11688,الله ايبارك فيك ياهندسة وحتى انت تستاهل كل الخير والله وطمنا عليك,Libya
11689,ديربي مدريد هيبقي فاجر فعلا,Egypt
11690,هههههههه طلعنا اطعمات,Libya
11691,غريبة حب بعض الناس سرق نومي من عيوني,Saudi_Arabia
11692,هههههههههه هههههههه ههههههههه ههههههه,Algeria
11693,ماشاء الله تبيلك جيه,Egypt
11694,دراجي راه دايخ من $و زيطوط -حشاكم- مدوخو الوسكي whisky,Algeria
11695,نوف الله يسعدك احتاج استشيرك في موضوع يخص التصميم الداخلي ، افتحي الخاص اذا ممكن او اقترحي علي اي تطبيق يناسبك,Saudi_Arabia
11696,انت أجمل اربعينك مثلك انت ما انوجد,Kuwait
11697, USER  أحبك يا بعد هالدنيا أنت,Bahrain
11698,اه صح شن صار يالعبد متفرجتش عليها,Libya
11699,بعدك انتي شفتيه بنظرة شرعيه البعض منهن كانن ما يشوفنه البر غير باليله العرس بس و وحده تخبرنا تقول سنتين اني اهرب عنه وما شافني وتقول بنات ليوم وحدهن يركض له تو زمن اول حلو ياخي ما تو كل شي ع المكشوف  URL  …,Iraq
11700,الجفاف العاطفي ده خرا ي جماعه,Tunisia
11701,الشغل غير مناسب للبنت بعد الزواج,Iraq
11702,ليتني طقس عشان تسألون عن احوالي. . #امنيه_تتمنونها_في_سنه_2016,Yemen
11703,#الچوكر_ومبارك_والفولورز بصبر نفسي واقول كان شر وربنا صرفو عنى,Egypt
11704,لا والله... تصوير عن بعد حرام بالله ما ثارت البندق عليهن,Saudi_Arabia
11705,ادري منين من العراق انتو اكتبو مكانكم حتى يجيكم احد جاد,Iraq
11706,انا شوفت الصورة ودمعت والله URL ,Egypt
11707,صدقني اذا الدفاع لعب دوره على اكمل وجه والمحاور التزمو بادوارهم بنص الملعب بانضباط وتركيز صدقني لو نحط خشبة بالباب راح تسد وتؤدي الغرض,Syria
11708,لا اذا قلت هيتمان غبي يعني كلنا اغبياء .. اذا هيتمان غبي من الذكي ؟,Oman
11709,حقيقة الهواتف الغالية مجربتهاش لكن عندي هواوي Y7 Prime واستعماله كويس ومايستكش,Libya
11710,احنا جدود زى بعض.. عيب كدا,Egypt
11711,ههههههههههه سبحان الله نسخه طبق الاصل,Libya
11712,حتى أنا قعدت قديمة,Libya
11713,فاك يو يا بربوك مكاتبج مال سلف يمنا ماضللكم شي وتنحركون,Iraq
11714,اناا بس ككـان ننـفسي ييديني ربعع الححـب اللي ححـبتهولوو.,Egypt
11715,النكد عندنا عامل علاقه عكسيه معا الفلوس .. ف ده السبب و اكيد مش دائم .. انما انتوا بلا سبب و دائم .. يعني لازم اجيب شيكولاته و بيتزا كل مره.. URL  …,Egypt
11716,ولا ذاكرنا زى الى ذاكروا . URL ,Lebanon
11717,اريد طرشي ح اموتتتت,Iraq
11718,عفتوا صوت فايا جلبتوا بجبار,Iraq
11719,نشاء الله ڨاع يكلهم الحراش . العقوبة لي شكيب و الباقي . الف تحية سيدتي خديجة. URL  …,Algeria
11720,كم تدفعين واعلمك ؟!,Qatar
11721,حبه هدوء بقى,Egypt
11722,كنت اعشق هذا الانمي خسارة كمل بكري,Algeria
11723,شكلج مالفنون جميلة ليش مخربته بالصيدلة,Iraq
11724,نفسي أعرف شعور الريال الي حط قوانين التكامل وش كان يحس فيه ؟,Oman
11725,هل تعلم ان بيلو يملك بطاقة فنان و هي بطاقة مهنية .. مزال كاين فنانين كيفو مزال متسقمتش لبلاد,Algeria
11726,دولة هذه شعارها اطحن مو في كرش مو,Morocco
11727, USER  مو مشكلة بحاول أدور الكتاب وأقراه لكن تذكر نهائى كأس العالم للأندية كيف الفريق المغربي تعب البايرن من فريق هاوي وأرجع للمباراة,Saudi_Arabia
11728,الله ياخذكم أمهات URL  …,Saudi_Arabia
11729,تويتة عملاقة في حب هي البني آدمة  USER ,Jordan
11730,أحب اخرط تالي ليل يطلع الكلام من صموص قلبي والصبح اتندم عليه,Iraq
11731,ياعم هات القصر وملكش دعوه دنت دماغك بنت حرام ياصحبي,Egypt
11732,دي بنيتنا حقتنا برانا بس,Tunisia
11733, USER  لا لا كالعاده بحط التاتش بتاعي علي اي بوست,Egypt
11734,في شدتك عد الناس اللي حواليك، وبعد ما تفرج اوعى تزود عليهم حد.,Egypt
11735,تلفزيون الإمارات فاتحين موضوع دعم الخبز #قطر_اليابان,Palestine
11736,#نانسي_عجرم مبسوطه بالاخيار لو انو أفضل #اليسا او #عمرو_دياب بس كلن الا زوال  URL  …,Djibouti
11737,شكرا اخ احمد انتا بالقلب,Iraq
11738,هههه وشكون هذي لنرفدها,Algeria
11739,هو لو اصيل كان دور على بديل ليه اصلا,Egypt
11740,عشان فلمت عليه وحده قلتو عنه مغتصب؟,Iraq
11741,"""عطني \"" سبب واحد \"" يخليني أرجع و أعطيك عشر أسباب ؛ تمنع رجوعي""",United_Arab_Emirates
11742,نعم ع التنمر ع كل مجنون بياكل إي نوع لحوم ⁦⁩,Egypt
11743,ما اعرف بس دلع,Saudi_Arabia
11744,يعني مسوي تحليل انت؟,United_Arab_Emirates
11745,تويتر مثل الصاله في البيت اذا جات مشكله تجمعنا فيه #الواتساب_معلق,Saudi_Arabia
11746,متى صير معنا مثل عروض دوله الكويت الله المستعان,Oman
11747,جب انا موجود فيه,Kuwait
11748,عطيتك قدرك الزايد لقيتك ما تشيل الزود يا رخيص الكسب كل اللي بغاك طالك,Saudi_Arabia
11749,آهآذي بگ لين يغشآني آلنعآس .. وآصحى مآ على آلبآل غيرگ ..,Oman
11750,محدش عنده واسطه حلوه فى اى بنك كده يا ولاد ؟ واهو نساعد بعضينا كده #المنصوره,Lebanon
11751,لا حيله أبو تركي,Iraq
11752,كس اختك يا فال ايري,Syria
11753, USER  ايه جميله وروعه وناسه بدون فلوس ههههههههههه,Saudi_Arabia
11754,اهلآ اهلآ بزعيم نجد أشتقنا كثير فـ أهلا بگ #الهلال_القيصومه,Saudi_Arabia
11755,بنمتحن ميدتيرم علي هيئة كويزات,Egypt
11756,أنا @ USER  بس ابي اتخرج و خلاص من حنة امي روحي خذي البطاقات عطوني ظرف فاضي جان استنزل عليهم URL  …,Qatar
11757,هادشي لي بان ليا الفيران خرجو يتشفاو وغادي يهربو عاوتاني,Morocco
11758,لماذ كل هذا الحزن الدنيا حلوة و احنا ازهارها,Egypt
11759,شيكي اسمك اول,Syria
11760,"لأنك عينيّ زعل البكي ورسمهن عليّ بشفاف الحكي, فتحهن عليك.. وسافر بعينيك وغمضهن عليّ.. لأنك عينيّ, <3 <3 <3 لأنك...  URL ",Palestine
11761,انو عاجزة حتى احكي عن الانزعاج يلي جواتي و الحرقة ..,Syria
11762,يعمرييي انا ياارب اشوف اللطافه دي بس,Saudi_Arabia
11763,اي صارت ! المهم .. صح اني ما اعرفك بس شفتهم يهنوك وقلت لازم نأدي الواجب كل عام وانتي بالف خير وعقبال التخرج والرفاهية واخر شي الزواج,Iraq
11764,كنت عارف اني ماشي بس رافض يوم تخافي,Egypt
11765,منت فايز لو تغرد الف مره,Saudi_Arabia
11766,اي 21سنة و 4 اولاد يعني مبين عليها صغيرة كمان...,Syria
11767,فيه منهن للبيع كميات,Saudi_Arabia
11768,شكرا على مرورك الطيب يا طيب. اعجبتني فكرة السنافر هههههههه,Algeria
11769,كذب بكذب سلامات,Bahrain
11770,للأمانة استعجلوا على اقالة انشيلوتي، مدرب بتاريخه يستحق اكثر احترام من هكي,Libya
11771,كان لك معايا اجمل حكاية في العمر كله #صباحكم_طيّب_جميعاً  URL  …,Libya
11772,الراجل بيسألك عن بديل من وجهه نظرك!! ده رد آلي ده ولا أي مش فاهم ؟ #ارحل_يا_سيسي,Egypt
11773,تفضلون الحب ولا الصحبه؟ — الاتنين URL  …,Lebanon
11774,حتي احلامي كوميدي,Syria
11775,يا اعوينكم ربي راضي عليكم ..,Libya
11776,ويجيك جفاف ف فمك اللتهاب ... عاد ما إلك اللا تتنفس من تحت البطانيه,Oman
11777,الله يوفقك ويسعدك وين ماكنتي,Saudi_Arabia
11778,المهرجين ما تنلامي والله:(,Oman
11779,والله ما حصل ي باشا انا واحد اهه من الدنيا ومزعلتهاش,Egypt
11780,النني هيعملها السنادي ولا ايه,Egypt
11781,بنخسر تبديل ف الشوط الاول,Oman
11782, USER  اي صح استوعبت .. ما قالو المفتوح جم؟ اذكر الـ 4s ما كان الفرق وايد,Kuwait
11783,ليوم نهار العيد مسرحية الزعيم هانندبهم,Tunisia
11784,شكلها كده داخلين ع ماتش فاصل وأخير,Egypt
11785,اصلاً نسيتي مسكرتج عندي,Kuwait
11786, USER   USER  لأني فتحت سيارة من عندهم بس السيرفس عندهم وااااايد غالي دائما يتجاوز ثلاثة الاف درهم وكله مجرد تغيير زيت المحرك,Oman
11787,روح قول لمعلمك...بفكرو معلمي شي سياسي او مسؤول....للي بيعرف وليلي ما بيعرف...يسوع وحدو معلمي  URL ,Lebanon
11788,هو أخذ إجازة بصح ماكانتش كأس افريقيا هههه,Algeria
11789,الله لا يغيبك خويا الظروف برك,Algeria
11790,"واووو In #liveme,ain't nothing like a weekend with no obligations ♛ أميرة NR♛:إلحقوني بتعرض لتجحفل   URL  … URL ",Algeria
11791,طوال ٤ سنوات الماضية كنت اروح بالبر وكنت استمتع بالرحلة بس هذي المره قلنا نجرب الطيران الاقتصادي ولكن خاب ظني لا اقتصادي ولا غيره وتطلع التذكره اغلى من الطيران العماني,Oman
11792,هبت ريح وريح حنونه ،، قيس اعزاز ايريد يجونا,Libya
11793,قوله يا عااامممممم.....قال نو جيفت قال...مسم,Egypt
11794,اومال انا مسخسخ ليه,Egypt
11795,مُتأكدة ان انا مش عايزة غير فلوس وسفر وبااااااااس,Egypt
11796,من ال100 مش منها,Libya
11797,بحبكك بقلب باايع الدنياا ككلهاا ومكتفي بيكي,Morocco
11798,اذا خفتي على خدمتك و تخافي يسحتوك من الخدمة تاعك ارواحي لدزاير نديرولك ملمة و اطلبي وش تحبي غير بلعي فمك .,Algeria
11799,حلوه حلوه حلوه اه:( — ههههههههههههه ياعمري فديت عيونج.  URL  …,United_Arab_Emirates
11800,يعني اي امتحن كويز من 40 درجة ؟!!,Egypt
11801,لكل شخص فضولي و يب يعرف حقيقة الحمامة البنفسجية Trash Doves  URL  ...  URL ,Tunisia
11802,ماجده انسانه راقيه بالأخلاق و الفن بس مو لهذا درجه,Djibouti
11803,يحاول ينتقص من الاله وما تضبط وياه ع كل حال اناوشك معنى للاله بلكت يخدمك (هو الغني عن العالمين) احب الملحدين من يمتلكون ذوق,Iraq
11804,اني صيدلة و مش عارفة بالضبط لكن صاحبتي في البشري قالت لي ممكن تمشي الأحد و الله اعلم شن يصير...,Libya
11805,زعلت كتير و عم تبكي اليسا,Djibouti
11806,البشاميل فيه حليب,Libya
11807,والله هذي صباحات امي الحلوه بس منقصه ربع القيمه يقال لك ادفعها انا. URL ,Saudi_Arabia
11808,انت تبي تسمي بنتك هاللي تدور لك يومين URL  …,Egypt
11809,الحكم المساعد عنده أليسون في الفانتزي ههه يستاهل ميتروفيتش لأنه ضيعنا في الثلاث الجولات الماضية و بيعناه يقوم يسجل اليوم مستحيل هههه,Morocco
11810,المواصل شي عادي والمفارق شي عادي كل ماودعت غالي جاني أغلى منه...,United_Arab_Emirates
11811,وإنت بألف خير عزيزتي ينعاد عليج وعالأهل بالصحة والسلامة,Iraq
11812,ماتوقعتني خخخفيفه لهدرجه!!,Syria
11813,ايه المنطر ده,Egypt
11814,لككك مبرووك عقبال الوطني يارب,Syria
11815,استغفرالله !!! تحط صورة لاعب كافر وتدعي للقدس؟,Saudi_Arabia
11816,انتي قلبي وانتي روحي وانتي عيني,Egypt
11817,شفتي عمك حكيم  USER ,Morocco
11818,الدراسة تبدأ بكرة الأحد أو الأحد اللي بعده؟,Saudi_Arabia
11819,فقد الامل ف فريقه فذهب لتشجيع نادي اخر لان فريقه لم يستطع فعل ما فعله هذا النادي استمرو احنا متعودين منكو ع كده  URL ,Egypt
11820,اقسم بالله جيش يا عم,Egypt
11821,#سوار_شعيب شكراً شعيب حلقة جميلة والشعب العماني كامل يشكرك ع هالحلقة وضحت فيها مقاصدنا وثقافتنا شكراً...,Lebanon
11822, USER  شفت الفديو هذا يعني برأيك اشتري افضل صح؟,Iraq
11823,ياكثرك على بالي وياقل وصلك,Saudi_Arabia
11824,الله لا يجيب الزعل بينا,Saudi_Arabia
11825,ايييييه رجعنا لطير يالي عليا ديون ٣٠٠ مليون اسدلك خمسين ولا أجيب الي تلاعب في ام الديون وأخذ افضل لاعب لك وانتا ماتقدر تسجل يا رجل وربي انك متخلف كرويا سيبك الجنان وطحلبت الدماغ وكلمني مزبوط,Syria
11826,#AHH انا حابة حالي انا هابقى حرة,Syria
11827, USER  محد ساعدنا لان كانوا يعرفون العراق هو الي طول عمرة يساعدهم ويوكفلهم ......,Iraq
11828,خليني اتخرج واكون معك شريك,Saudi_Arabia
11829,كنت بفكر اكدب بس مقدرتش,Egypt
11830,يليل انا لو اني نايمة اصرف لي,Yemen
11831,الصياعه هيه انك اتسمي اسم بنتك علي اسم عشيقتك بيش متنفضحش قدام امراتك,Libya
11832,حصريات هدون تعيشنا الجو اكتر من الي بالمسرح  USER  URL  …,Syria
11833, USER  هيا نديروا عريضة ونبعتوها للوزارة مثلا ولا نسأل أهل الخبرة شونعمل مثلا وكيل الدولة او محامين القضايا الدولية,Algeria
11834,ياخي انت كلهههه جي تطلع فجاه وفجأة تختفي ولا ترجع الا عقب شهور مادري شتسوي — ايي =)).  URL ,Qatar
11835,ترى تحصلهم كلهم في برنامج سواعد الاخاء,Saudi_Arabia
11836,عيب يا صحبي انا بهزر,Egypt
11837,وكمان الولد والله ربنا يرحمهم جميعاً,Egypt
11838,فعلا بيبي عنلاق,Iraq
11839,ياليلة العيد آنستينا و جددتي الأمل فينا  URL  …,Algeria
11840,صح نومي صباح الخير بتوقيتي,Kuwait
11841,"اخوان اريد عبقري يساعدني .. النانو ستيشن مالتي كانت ما محدثه , والباسوورد مالها مسوي 25 حرف ورمز .. المهم من...  URL ",Iraq
11842,رب سلمك يا ابناخي تبلطج عليهم كلهم الا الجقيه ابعد عنه,Libya
11843,يعم ياسر شوفتنى رانن اعمل كول باك متبقاش فلاح نتن,Egypt
11844,اشتاقيت للاستيج الاخير والنومه الجنت انامها هههههههههههههههه تذكرون .....  URL ,Iraq
11845,دى حقيقه فعلا وكان اب واخ كبير لينا قبل ميكون مدرس وحشتنى حصته اوى  URL  …,Morocco
11846,هذا مالاتعرفونه تسجل وتحافظ على تسيجلك وانتهى انتم من يوم يومكم تشيلون بالتمانية,Algeria
11847,لوهله أحس تقصيري لنفسي تعدا المعقول والذكريات السيئه مليانه بمحيطي.,Saudi_Arabia
11848,شو معنى تتأجل استشارات لمزيد من الاستشارات؟ ما هو الهدف من الاستشارات الملزمة إنو يتم عن طريقها الاستشارات بين الرئيس والنواب؟ .. #كلن_يعني_كلن #لبنان_ينتفض,Lebanon
11849,اھديني خلفية جوالك بدون غش .. وخليك أمين وأرسلها وبعدين أرسل ھالمسج لقائمتك وشوف الصور الي بتجيك,Iraq
11850,اقول جهز نفسك بالليل ونام بدري الدوام ينتظرك,Bahrain
11851,الحبسي وسوريانو وديجينك الله يستر عليهم,Iraq
11852,يوجد لدي عدد 3 تذاكر مجاناً للي ما اشترى تذكره يجيني خاص دعمكم  USER   USER   USER  #الاتحاد  USER ,Bahrain
11853,أحب أعرّفك على صديقي  USER  اللي أمه هددته برمي كتبه إذا ما رتّبها,Oman
11854,و بينا معاد لو احنا بعاد.,Egypt
11855,نورة، دائمًا إذا بغيتي تعرفين الفرق بيت الـ ة أو ه اقريها وضيفي لها تنوين ضم.,Qatar
11856,انت راجل اهبل يا جدو,Egypt
11857,احكي على كل شي الا الانتاجية و الانتاج والعقل و كالريق,Tunisia
11858,مبروووك لينا كلنا,Egypt
11859,قبضنا حصتنا بالدولار اليوم وعقبال عند الباقي #money #cash #makemoney #fadisaleh #ru #russiatoday…  URL ,Syria
11860,سؤالي لوزارة العمل إذا كان في أقامه الوافد ساق شاحنه ويشتغل مدير هل هذا خطأ وين الامانه عند المفتشين حق وزارة العمل  USER  #تجمع_العاطلين_السعوديين67,Saudi_Arabia
11861,الشعور اذا يصير لطيف اله اذا المقابل فهم الي دتحجي واني اشك اكو واحد راح يفهم مشاكلي باي ذه وي انتي مو نفسج ويانه جنتي بالكلية ؟,Iraq
11862,نسّم علينا الهوى ..,Oman
11863,تيتا كانت بتعمل فرخه كامله لاي حد م ولادها يتعب فاماما جت ف يوم وحطت ف عينها تراب عشان تاكل فرخه لواحدها,Lebanon
11864,ولا يهمك الايام جاية اذا الله راد,Lebanon
11865,مين هيدي يلي حاطلا على صورتها؟؟؟ بعرف هالموقف منيح عطول بصير معي,Lebanon
11866,هذاك الثاني الي لابس احمر وما عرف يستلمها شكله برشلوني,Iraq
11867,ايه اليوم حاطتها وزارة الأوقاف,Libya
11868,وعليكم السلام والرحمه وانت بخير وصحه وينعاد كل سنه عليكم وانت طيب وكل من يعز عليك,Kuwait
11869,الدنيا تعاند وأنا أقوى، حتى الطيح ڨول ربي معايا ⁦⁩  URL  …,Tunisia
11870,هالايام ضاربها چلاق,Iraq
11871,يلا بسم الله  URL ,Egypt
11872,اكتر واحده مفتريه فينا  URL  …,Egypt
11873,ميستاهلون توصخين حسابج باسمائهم,Iraq
11874,من ضمن مزايه الريموت عند لمريكان ايكون حجم كبير عشان الكل ايتحكم فيه اويحركوه زي مايبو,Libya
11875,اللي يسولهم تقدير سن يحطوا تاريخ الميلاد ١/١,Oman
11876,على بآلي ولا انت دآري♩. #نجران_الان,Saudi_Arabia
11877,فرحة العيد غير يا رب ما تحرم حدا من هالفرحة,Palestine
11878,هاذم موش رجال أعمال هاذم رجال أعمايل,Tunisia
11879,الزريعة نتاع الكابوية ولا دوار الشمس تشيواوا,Algeria
11880,هو موجود فعلا .. بس ترا اللقاء قبل 7 أشهر ، شفت الجندي الي التقى بي بلقاء صحفي .. وكذلك التقنية من اجل السلام نشرت,Iraq
11881,لو تهتمي بنفسك شوي كان افضل,Iraq
11882,لبغا احط شي حك فشي حانوت و لا مخبزة و لا اي بلاصة ادوز بريفي و شكرا  URL  …,Morocco
11883,لا تخرطي م صدفة,Oman
11884,فتح عنيه بعد ما كانت مغمضه وقد اي كان ظالم نفسه ف كل دا ..,Saudi_Arabia
11885,لا وين اكو هيج حچي  URL  …,Iraq
11886,ده انت عبيط من زمان بقي مش ع يدي يعني  URL  …,Egypt
11887,النغاشة يا الله,Syria
11888,واللي يعوز يجرحك تلاقيكي رايحاله، ده انتي عليكي العجب وانا منك اتعلمت,Egypt
11889,اي خير ان شاء الله شكلج من اهل العاشره,Kuwait
11890, USER  في عالم ولاد متعه فرحانيين باستشهاد زهران . الله يحشرهم مع بوتن وخامنءي النجس وحسن العميل المجوسي القذر,Syria
11891,انت ادري بقي,Egypt
11892,"""#افتحوا الشبابيك وعيونكم للسماء.. خدوا نفس عمييييق وقُولوا... ياااارب... “اختر لقلبي سبيلًا غير ذي عِوج...وكُن نصيري على الدنيا وما فيها.\""""",Iraq
11893,في حاگات حلوه حصلتلي على ايديه ابدعت شيرين بهالاغنيه,Iraq
11894,اوه اوه هيش كثرهم . URL  …,Oman
11895,م في الخرطوم لأني اشتقت للسودان,Sudan
11896,مفيش اتنين دخل بينهم حد تالت ومخسروش بعض,Lebanon
11897,وين بَي الكل ؟؟ ما يقوم هو كمان ناطر كلمة الحليف القوي ؟!,Lebanon
11898,احب أوجه كلامي لداعش واگول ..... گولي شجابك عليه وشذكرك بينة ؟,Iraq
11899,صباحش ورد يا ورد .,Oman
11900,اللانك مس عايشه,Oman
11901,لازملنا تخطيط من الآن ماشي حتى نوصلو للمرحلة هذيك نولو في الارتجال..,Algeria
11902,قديش ليا ماعجبتني أغنية زي هذه #oldtownroad,Libya
11903,انا ناخد في فواج فيتامين سي,Libya
11904,وذا برضوه اتوقع نفس الريحه بينكم مشتركه يالضربان,Saudi_Arabia
11905,#لو_التغاء_تويتر راح نشوف الاخبار ثاني بثاني وليس أول بأول.,Algeria
11906,هو اللي يتشرف بعرض مسلسله هناك URL ,Iraq
11907,دلما مول مع بو عبيد,Oman
11908,ناطرينك على نار تقبرني بالتوفيق صابر,Iraq
11909,ارحموني بكلمة صباح النور يا غا...,Iraq
11910,هوي م تظلموني ساي انا انسان مجتهد يااخ,Sudan
11911,بوكرن يكتب.. ما البنكيرانية؟  URL ,Morocco
11912,ألا اللغات الوطنية إن شاء الله .. لوخر ما عندي لو شي هههههههه,Mauritania
11913,ابغى الفيد وقت رد,Egypt
11914,كتبت كتير اوى انت ،، وانا مش قصدى البعد الباعد ده انا اتفه من كده,Egypt
11915,أمين يا رب،، مهزلة يا ريس,Libya
11916,من وين هالفلتر؟؟,Djibouti
11917,روحي وعمري وكلشي حلو الله يحفظلنا ياكي ولا يشغل بالنا عليكي وتضلي بصحتك وعافيتك وتالقك ونجاحك,Syria
11918,دايم نختمها بخمسسسه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,Saudi_Arabia
11919,نجيه ياربي اللي فاهمني,Libya
11920,و الله دي رجالة عديل  URL  …,Sudan
11921,دوام يعني دوام لمه المرجع يكول #دوام_بامر_المرجعية,Iraq
11922,ليلة الي البسلك الأبيض  URL  …,Palestine
11923,أخت القمر ما أحد يساويهاااا . URL ,Iraq
11924,ده انا اتاثرت جدا,Egypt
11925, USER  تاج راسك كلامنا,Saudi_Arabia
11926,بيعلموني العد ما شاءالله يعني  URL ,Egypt
11927,منب ناطله انا بسس بششوف شكلتس تناسبين اطبخ عندتس او لا,Saudi_Arabia
11928,ماهو ما شاء الله انتى كده عموما,Egypt
11929,ييي افضضضللل فنااان كللل قلوب الدنيا له والله,Saudi_Arabia
11930,م عليك زود ابو الوليد يسعد مساك,Jordan
11931,#VoteTHPEXO لأن طلعت اذاكر، م فيه غيوم وانا حزينة احس ببكي ااجو حلو وم فيه غيوم,Egypt
11932,ياعمي اللي هو,Saudi_Arabia
11933,"""ــ آلعـ وـربان مهما واش إيديرو و إيعاندو, ماشي راح إيوصلو حتى لْـ مام نيــvـو نتاع \""كيــفـ-ـكيــفـ!\"". ــ ــآمريكا و ما-آدراك ما-آمريكا ــ ــ City Government Biddeford Maine ــ ــ  URL   ــ  URL  …""",Algeria
11934,الله يجمل حالك وحالنا,Saudi_Arabia
11935,ي محمددد واحد كبده ع الصاج ',Saudi_Arabia
11936,اذا رسل لوكيشن كنتاكي بعرف انه فخ ما بروح,Oman
11937,ع سيرة القمع رجعي الوتس,Syria
11938,صوبي مالعازه والمرجا ،، حملين علي ناقه عرجه,Libya
11939,الموضوع ده حقيقي ومحزن ومقلق ومرعب وكل حاجه :') URL  …,Egypt
11940,شو صاير فيكم تقشف من زمان ما فاز المنتخب تو كله الحماس طلعتوه,Oman
11941,الله يخليلك ياه يارب,Jordan
11942,منزلنا في وقت معفن خالص,Egypt
11943,لا ربنا معاكي,Egypt
11944,ي قلبي ي معاذ.,Saudi_Arabia
11945,الفار الطباخ دا قلبي اويييييي,Lebanon
11946,انا داير الحلقات زاتها كدي لمن يجوني,Yemen
11947,لك بلشت ابكي انااااا والله العظيم شو بدنا احلى من هيك شوووو؟؟ ربي من عندو يحمييييييييك,Lebanon
11948,بحب الانشوده دي جدا يعني ..!  URL  …,Egypt
11949,وينن جماعة كلن يعني كلن؟؟ لك تفهههه,Lebanon
11950, USER  أما العالم المضايقة لالالا أنا مش من دول,Algeria
11951,م سمعت كل اغاني الألبومات,Egypt
11952,الليله مهب وبرررد : URL ,Saudi_Arabia
11953,انت الذي ما يشبهك بالملا حي ما ألوم من سماك سيد العذارى,United_Arab_Emirates
11954,عندك حق. حتي. مغيهوش وجع وكسر قلب,Egypt
11955,هوي كلو غبار,Syria
11956,ههههههههههههه لعبة وحركات خاصة لن يفهمها جيل الاي باد  URL ,Mauritania
11957,وانا خلوني اغني الاوست  URL  …,Saudi_Arabia
11958,_ وانا لو معايا بنوته زي دي هدخلها مطبخ اصلا  URL ,Egypt
11959,انا مش عايزه اروح من الكليه ، انا بوصل البيت و ببقا عايزه اقطع شرايني,Egypt
11960,لا وين ذي تغريده عن مباراه المنتخب الامريكي للسيدات.,Saudi_Arabia
11961,انتو ملاحظين اليوم لا صبحت ولا مسيت عليكم,Iraq
11962,منورة والله تتابعينه أسبوعي؟,Morocco
11963,ياريت يوم المنى,Libya
11964,ههههههه خطير هذاك الجان,Algeria
11965,الله يرحم لك الوالدين غبر عليا وجهك . بعبارة اخرى. ها عار الله عطيني شبر اتساع,Morocco
11966,الله لايوفقهم الاثنين جعلها تحترق قلوبهم زي ماحرقو قلب البنت,Iraq
11967,حجيت بصوره عامه موبس عليه,Iraq
11968,#كلنا_زوجاتك_يا_حمدالله شنو هذاااا ياسعدي ويافرحي لالا بزاااف على البهلان التسلييييييييييييييييييييييييم URL ,Morocco
11969,الصحاب ف اجازة خلي بالك,Egypt
11970,كله بيلعب علي كله. كله بيشتغل كله,Egypt
11971,لحقتي لمرحلة يكون راجل وخلاص ؟ ولا مزلتي مع يكون اسمر وطويل وعندو لحية,Algeria
11972,أسفة يا بيبز.,Sudan
11973,انقصفت جبهتها كتير حرام,Lebanon
11974,انت شكلك حامل علي حقد دفين,Sudan
11975,بالوضع هذا تحتاجون معلم صعوبات التعلم الى متى هالتخصص شبه مهمّش بالتعليم مع انه مهم جدا  USER   USER ,Saudi_Arabia
11976,ابكي بترتاح اخ فوفو,Lebanon
11977,لييشششش الحياه جاسية!!!! URL ,Oman
11978,ماشالله ، طيب وش وضع نجمة داوود,Saudi_Arabia
11979,تفائل يـا خرا .,Kuwait
11980,يمسح خناينه في الكم ويسكت,Libya
11981, USER  روما ارسنال ليفربول الثلاث التي لحد الان لم نصفي دين دور ١٦ معها البايرن طقطقنا عليه واليوفي رديناها وليون الله يرحمه,Iraq
11982,ههههه والله راسته ١٥ مه ليوننده ف وان,Iraq
11983,سيم متصدره بكلشي,Iraq
11984,"""قريتها \"" والريال بينذل\""""",Libya
11985,رأي الكربولي و الحلبوسي شنو ؟ لو هؤلاء من المبشرين لا يشملهم كلامك ؟ عذراً استاذ كنت اتوقعك إعلامي حيادي !!!,Iraq
11986,داخلين ف السنة التالتة !,Egypt
11987,انت متأكد انو ما حدا يدعمها ؟! اظن انك اهبل من وين جابت السلاح و كيف راح تقاتل اذا ما فيها دعم ؟ لا تقولي سلاحها عنائم,Algeria
11988,ولا اعرف انا باخدهم دقايق وادخل بيهم نت,Syria
11989,من عند الصمدي صح,Egypt
11990,وصارت يا بدران,Oman
11991,المرزوقي مهبول من قبل هههه,Tunisia
11992,اخوات ماشاء الله . طب عديهالها,Egypt
11993,محدش فينا لاقي راحته .,Egypt
11994, USER  الحمد لله على كل حال بس مكتلي شفت الصورة اللي دزيتلك اياها,Iraq
11995,هدي اعصابك بنفضلها لا تهدد تحذف حسابك,United_Arab_Emirates
11996,هما ال ١٤ يوم رمضان دول فاتو امتى ؟,Egypt
11997,أنت وأترامب الخنيزر مجرد حمار وبقرة حلوب يا صهيوني وأبوك ألأمبراطور المهلوس .يا حيوان ويا جربوع وعميل الصهيونية أمكم وأم كل لقطاء العالم.,Morocco
11998, USER  اشتقنا انه يكون عندك لاعب حاسم بالدكة مو كنا نريد نقلب النتيجة بايارا وخضيوة وتشيشا,Iraq
11999,استرها معانا یا رب .... امتحان 󾌽,Egypt
12000,نيشان المتفلسف مش لابقله غير يستقبل آنجي وزياده ع رقبته.... من الاخر يسد بوزو ولا بقى يصطاد بالماء العكر,Lebanon
12001, USER  الله يعينكم حنا اليوم جونا ممتاز الشمس طالعه URL ,Saudi_Arabia
12002,ومتاكده هالسنه معدلي تحت,Somalia
